Name,sym,z, Pauling_Electronegativity,block,Display_Atomic_Mass,Kiddie_Atomic_Mass,Actual Atomic Mass, Density, Melting_Point, Boiling_Point, Atomic_Radius, Covalent_Radius, Ionic_Radius, Specific_Volume, Specific_Heat, Heat_Fusion, Heat_Evaporation, Thermal_Conductivity, First_Ionisation_Energy, Oxidation_States, Lattice, Lattice_Constant
Gold,Au,79,2.54,5d,196.966570(4),196.967,196.966570(4),19.3,1337.58,3080,146,134, ,10.2,0.129,12.68, ~340,318,889.3, 3 1, FCC,4.08
Mercury,Hg,80,2.00,5d,200.592(3),200.592,200.592(3), 13.546 (@ +20degC),234.28,629.73,157,149, ,14.8,0.138,2.295,58.5,8.3,1006, 2 1, RHL,2.99
Thallium,Tl,81,1.62,6p,,,"[204.382,204.385]",11.85,576.6,1730,171,148, ,17.2,0.128,4.31,162.4,46.1,588.9, 3 1, HEX,3.46
Lead,Pb,82,1.87,6p,207.2(1),,207.2(1),11.35,600.65,2013,175,147, ,18.3,0.159,4.77,177.8,35.3,715.2, 4 2, FCC,4.95
Bismuth,Bi,83,2.02,6p,208.98040(1),,208.98040(1),9.747,544.5,1883,170,146, ,21.3,0.124,11,172,7.9,702.9, 5 3, RHL,4.75
Polonium,Po,84,2.0,6p,—,—,—,9.32,527,1235,176,146, ,22.7,0.125,-10,-102.9, -,813.1, 6 4 2, SC,3.35
Astatine,At,85,2.2,6p,—,—,—, -,575,610, -,<145>, , -, -, -, -, -,916.3, 7 5 3 1 -1, -, -
Radon,Rn,86,2.2,6p,—,—,—, 4.4 (@ -62degC),202,211.4, -, -, , -,0.094, -,18.1,0.0036,1036.5, -, FCC, -
Francium,Fr,87,>0.79,7s,—,—,—, -,300,950, -, -, , -, -,15, -, -, ~375,2, BCC, -
Radium,Ra,88,0.9,7s,—,—,—,<5.5>,973,1413, -, -, ,45,0.12,-9.6,-113,<18.6>,509,2, -, -
Actinium,Ac,89,1.1,6d,—,—,—, -,1320,3470,188, -, ,22.54, -,-10.5,-292.9, -,665.5,3, FCC,5.31
Thorium,Th,90,1.3,5f,232.0377(4),232.06,232.0377(4),11.78,2028,5060,180,165, ,19.8,0.113,16.11,513.7,<54>,670.4,4, FCC,5.08
Protactinium,Pa,91,1.5,5f,231.03588(1),231.03588,231.03588(1),15.37,2113,4300,161, -, ,15,0.121,16.7,481.2, -, -, 5 4, TET,3.92
Uranium,U,92,1.38,5f,238.02891(3),238.04,238.02891(3),19.05,1405.5,4018,138,142, ,12.5,0.115,12.6,417,27.5,686.4, 6 5 4 3, ORC,2.85
Neptunium,Np,93,1.36,5f,—,—,—,20.25,913,4175,130, -, ,21.1, -,-9.6,336,<6.3>, -, 6 5 4 3, ORC,4.72
Plutonium,Pu,94,1.28,5f,—,,—,19.84,914,3505,151, -, , -, -,2.8,343.5,<6.7>,491.9, 6 5 4 3, MCL, -
Americium,Am,95,1.13,5f,—,—,—,13.67,1267,2880,173, -, ,20.8, -,-10,238.5, -, -, 6 5 4 3, -, -
Curium,Cm,96,1.28,5f,—,—,—,13.51,1340, -,299, -, ,18.28, -, -, -, -,<580>, 4 3, -, -
Berkelium,Bk,97,1.3,5f,—,—,—,13.25, -, -,297, -, , -, -, -, -, -,<600>, 4 3, -, -
Californium,Cf,98,1.3,5f,—,—,—,15.1,900, -,295, -, , -, -, -, -, -,<610>, 4 3, -, -
Einsteinium,Es,99,1.3,5f,—,—,—, -, -,1130,292, -, , -, -, -, -, -,<620>,3, -, -
Fermium,Fm,100,1.3,5f,—,—,—, -,1800, -,290, -, , -, -, -, -, -,<630>,3, -, -
Mendelevium,Md,101,1.3,5f,—,—,—, -,1100, -,287, -, , -, -, -, -, -,<635>,3, -, -
Nobelium,No,102,1.3,5f,—,—,—, -,1100, -,285, -, , -, -, -, -, -,<640>,32, -, -
Lawrencium,Lr,103,1.3,5f,—,—,—, -, -, -,282, -, , -, -, -, -, -, -,3, -, -
Rutherfordium,Rf,104, -,6d,—,—,—, -, -, -, -, -, , -, -, -, -, -, -, -, -, -
Dubnium,Db,105, -,6d,—,—,—, -, -, -, -, -, , -, -, -, -, -, -, -, -, -
Seaborgium,Sg,106, -,6d,—,—,—, -, -, -, -, -, , -, -, -, -, -, -, -, -, -
Bohrium,Bh,107, -,6d,—,—,—, -, -, -, -, -, , -, -, -, -, -, -, -, -, -
Hassium,Hs,108, -,6d,—,—,—, -, -, -, -, -, , -, -, -, -, -, -, -, -, -
Meitnerium,Mt,109, -,6d,—,—,—, -, -, -, -, -, , -, -, -, -, -, -, -, -, -
Darmstadtium,Uun,110, -,6d,—,—,—, -, -, -, -, -, , -, -, -, -, -, -, -, -, -
Roentgenium,Uuu,111, -,6d,—,—,—, -, -, -, -, -, , -, -, -, -, -, -, -, -, -
Copernicium,Uub,112, -,6d,—,—,—, -, -, -, -, -, , -, -, -, -, -, -, -, -, -
Nihonium,Nh,113, -,7p,—,—,—, -, -, -, -, -, , -, -, -, -, -, -, -, -, -
Flerovium,Fl,114, -,7p,—,—,—, -, -, -, -, -, , -, -, -, -, -, -, -, -, -
Moscovium,Mc,115, -,7p,—,—,—, -, -, -, -, -, , -, -, -, -, -, -, -, -, -
Livermorium ,Lv,116, -,7p,—,—,—, -, -, -, -, -, , -, -, -, -, -, -, -, -, -
Tennessine,Ts,117, -,7p,—,—,—, -, -, -, -, -, , -, -, -, -, -, -, -, -, -
Oganesson ,Og,118, -,7p,—,—,—, -, -, -, -, -, , -, -, -, -, -, -, -, -, -
